num_taxis,sim_t
52,0
42,3600
31,7200
18,10800
18,14400
35,18000
47,21600
48,25200
54,28800
55,32400
55,36000
56,39600
55,43200
79,46800
76,50400
65,54000
68,57600
72,61200
71,64800
74,68400
79,72000
81,75600
75,79200
69,82800
48,86400
42,90000
34,93600
23,97200
17,100800
33,104400
50,108000
47,111600
51,115200
53,118800
57,122400
54,126000
55,129600
73,133200
72,136800
62,140400
62,144000
60,147600
62,151200
70,154800
72,158400
65,162000
54,165600
51,169200
38,172800
30,176400
21,180000
10,183600
18,187200
46,190800
94,194400
106,198000
123,201600
126,205200
129,208800
128,212400
150,216000
173,219600
138,223200
114,226800
114,230400
113,234000
112,237600
110,241200
114,244800
101,248400
63,252000
44,255600
42,259200
32,262800
13,266400
11,270000
16,273600
46,277200
95,280800
108,284400
125,288000
133,291600
137,295200
138,298800
153,302400
187,306000
147,309600
120,313200
118,316800
122,320400
119,324000
119,327600
114,331200
106,334800
75,338400
52,342000
52,345600
36,349200
16,352800
16,356400
22,360000
58,363600
102,367200
117,370800
126,374400
132,378000
133,381600
132,385200
145,388800
175,392400
144,396000
119,399600
121,403200
123,406800
122,410400
120,414000
118,417600
95,421200
71,424800
56,428400
53,432000
42,435600
20,439200
18,442800
21,446400
52,450000
104,453600
120,457200
134,460800
134,464400
139,468000
139,471600
150,475200
182,478800
150,482400
110,486000
118,489600
117,493200
115,496800
114,500400
126,504000
112,507600
82,511200
59,514800
57,518400
48,522000
21,525600
18,529200
24,532800
51,536400
94,540000
115,543600
127,547200
128,550800
134,554400
138,558000
146,561600
176,565200
140,568800
116,572400
120,576000
118,579600
119,583200
119,586800
123,590400
108,594000
79,597600
59,601200
59,604800
56,608400
41,612000
34,615600
22,619200
32,622800
43,626400
40,630000
45,633600
46,637200
48,640800
50,644400
49,648000
75,651600
76,655200
63,658800
70,662400
73,666000
74,669600
76,673200
83,676800
80,680400
77,684000
68,687600
49,691200
48,694800
43,698400
33,702000
20,705600
27,709200
34,712800
33,716400
44,720000
47,723600
45,727200
46,730800
45,734400
64,738000
58,741600
48,745200
58,748800
62,752400
65,756000
70,759600
82,763200
81,766800
66,770400
60,774000
43,777600
33,781200
22,784800
17,788400
19,792000
50,795600
93,799200
94,802800
105,806400
112,810000
116,813600
120,817200
139,820800
172,824400
142,828000
107,831600
122,835200
122,838800
125,842400
123,846000
118,849600
104,853200
73,856800
50,860400
45,864000
38,867600
17,871200
15,874800
17,878400
53,882000
87,885600
97,889200
105,892800
111,896400
116,900000
115,903600
134,907200
173,910800
146,914400
125,918000
129,921600
130,925200
131,928800
124,932400
125,936000
115,939600
84,943200
61,946800
58,950400
41,954000
22,957600
19,961200
20,964800
49,968400
93,972000
105,975600
112,979200
117,982800
116,986400
118,990000
140,993600
177,997200
146,1000800
110,1004400
128,1008000
131,1011600
129,1015200
127,1018800
121,1022400
102,1026000
81,1029600
60,1033200
59,1036800
45,1040400
23,1044000
21,1047600
21,1051200
57,1054800
86,1058400
98,1062000
108,1065600
112,1069200
116,1072800
117,1076400
136,1080000
160,1083600
139,1087200
111,1090800
122,1094400
128,1098000
129,1101600
127,1105200
133,1108800
122,1112400
83,1116000
66,1119600
61,1123200
51,1126800
24,1130400
24,1134000
25,1137600
59,1141200
91,1144800
92,1148400
100,1152000
116,1155600
117,1159200
117,1162800
129,1166400
159,1170000
148,1173600
123,1177200
128,1180800
131,1184400
128,1188000
124,1191600
134,1195200
122,1198800
84,1202400
63,1206000
62,1209600
60,1213200
49,1216800
34,1220400
29,1224000
40,1227600
48,1231200
39,1234800
43,1238400
45,1242000
46,1245600
43,1249200
44,1252800
64,1256400
69,1260000
63,1263600
71,1267200
75,1270800
77,1274400
83,1278000
92,1281600
87,1285200
